month,total,port_core,eastern_opl,western_opl,other
202509,0,0,0,0,0
202510,0,0,0,0,0
202511,0,0,0,0,0
202512,0,0,0,0,0
202601,0,0,0,0,0
202602,0,0,0,0,0
202603,0,0,0,0,0
202604,0,0,0,0,0
202605,0,0,0,0,0
202606,0,0,0,0,0
202607,0,0,0,0,0
202608,0,0,0,0,0
