day,sat,status,cov,total,port_core,eastern_opl,western_opl,other
20160,S1A,OK,1.0,1289.0,430.0,232.0,214.0,413.0
20170,S1A,OK,1.0,1342.0,437.0,276.0,244.0,385.0
20170615,S1A,OK,0.909,1390.0,457.0,225.0,253.0,455.0
20180,S1A,OK,0.909,1644.0,508.0,226.0,272.0,638.0
20260,S1A,OK,0.91,1538.0,554.0,277.0,199.0,508.0
