month,total,port_core,eastern_opl,western_opl,other
202509,596,303,3,85,205
202510,587,280,22,78,207
202511,608,296,19,103,190
202512,671,307,32,106,226
202601,910,292,88,104,426
202602,711,337,32,100,242
202603,783,353,33,109,288
202604,746,303,68,105,270
202605,658,299,26,100,233
202606,671,305,24,98,244
202607,657,268,34,92,263
202608,669,293,37,102,237
