month,total,port_core,eastern_opl,western_opl,other
202509,380,116,16,58,190
202510,312,110,18,38,146
202511,254,91,8,38,117
202512,336,104,25,44,163
202601,384,138,9,49,188
202602,380,119,27,49,185
202603,398,121,16,67,194
202604,298,95,25,31,147
202605,326,96,20,60,150
202606,376,115,24,60,177
202607,409,109,26,57,217
202608,371,124,17,64,166
