month,total,port_core,eastern_opl,western_opl,other
202509,1011,391,38,186,396
202510,880,372,27,100,381
202511,1005,416,43,170,376
202512,944,378,54,171,341
202601,11471,394,4276,149,6652
202602,2795,512,43,146,2094
202603,5028,514,828,192,3494
202604,1175,377,89,184,525
202605,924,380,40,126,378
202606,1629,415,101,121,992
202607,1970,328,41,112,1489
202608,4595,359,508,152,3576
