day,sat,status,cov,total,port_core,eastern_opl,western_opl,other
20241230,S1A,LOWCOV,0.438,,,,,
20250111,S1A,LOWCOV,0.437,,,,,
20241224,S1A,OK,1.0,365.0,107.0,92.0,51.0,115.0
20241218,S1A,LOWCOV,0.436,,,,,
20241212,S1A,OK,1.0,364.0,110.0,93.0,64.0,97.0
20241206,S1A,LOWCOV,0.436,,,,,
20241211,S1A,OK,0.883,382.0,106.0,87.0,75.0,114.0
20241129,S1A,OK,0.895,375.0,106.0,79.0,59.0,131.0
20241124,S1A,LOWCOV,0.436,,,,,
20250104,S1A,OK,0.897,419.0,132.0,86.0,74.0,127.0
20241112,S1A,LOWCOV,0.432,,,,,
20241117,S1A,OK,0.891,393.0,94.0,87.0,71.0,141.0
20241223,S1A,OK,0.896,355.0,101.0,91.0,40.0,123.0
20241105,S1A,OK,0.839,344.0,89.0,89.0,46.0,120.0
20241031,S1A,LOWCOV,0.427,,,,,
20241024,S1A,OK,0.892,412.0,118.0,113.0,51.0,130.0
20241019,S1A,LOWCOV,0.433,,,,,
20241013,S1A,OK,0.999,372.0,103.0,87.0,72.0,110.0
20241118,S1A,OK,0.99,321.0,78.0,92.0,53.0,98.0
20241012,S1A,LOWCOV,0.761,,,,,
20241106,S1A,OK,0.992,363.0,108.0,89.0,59.0,107.0
20241007,S1A,LOWCOV,0.439,,,,,
20241001,S1A,OK,0.994,371.0,108.0,96.0,59.0,108.0
20241025,S1A,OK,0.999,380.0,101.0,103.0,61.0,115.0
20240930,S1A,OK,0.893,380.0,101.0,84.0,69.0,126.0
20240918,S1A,OK,0.891,356.0,94.0,86.0,52.0,124.0
20240913,S1A,LOWCOV,0.437,,,,,
20240925,S1A,LOWCOV,0.436,,,,,
20240906,S1A,OK,0.895,417.0,122.0,86.0,65.0,144.0
20240825,S1A,OK,0.889,393.0,118.0,80.0,63.0,132.0
20240820,S1A,LOWCOV,0.438,,,,,
20240813,S1A,OK,0.897,402.0,124.0,101.0,69.0,108.0
20240814,S1A,OK,0.992,324.0,84.0,91.0,54.0,95.0
20240808,S1A,LOWCOV,0.437,,,,,
20240919,S1A,OK,1.0,385.0,97.0,89.0,69.0,130.0
20240801,S1A,OK,0.892,324.0,98.0,77.0,57.0,92.0
20240715,S1A,LOWCOV,0.438,,,,,
20240720,S1A,OK,0.896,400.0,120.0,94.0,66.0,120.0
20240703,S1A,LOWCOV,0.436,,,,,
20240826,S1A,OK,0.973,312.0,102.0,64.0,49.0,97.0
