_id,month,vessel_type,number_of_vessels,gross_tonnage
731,2002-08,Bulk Carrier,404,13643.4
732,2002-08,Tanker,1388,25113.37
733,2002-08,Passenger,4741,2038.11
734,2002-08,Barges,1332,1764.99
735,2002-08,Tug,1178,213.93
736,2002-08,Miscellaneous,879,4380.02
737,2002-09,Container,1332,28292.29
738,2002-09,Freighter,854,3122.47
739,2002-09,Bulk Carrier,427,14301.05
740,2002-09,Tanker,1345,23728.49
741,2002-09,Passenger,4568,2088.06
742,2002-09,Barges,1321,1840.76
743,2002-09,Tug,1162,224.94
744,2002-09,Miscellaneous,869,3942.29
745,2002-10,Container,1343,28355.77
746,2002-10,Freighter,960,2830.6
747,2002-10,Bulk Carrier,464,16131.35
748,2002-10,Tanker,1452,26723.02
749,2002-10,Passenger,4816,2255.95
750,2002-10,Barges,1342,1769.4
751,2002-10,Tug,1154,217.7
752,2002-10,Miscellaneous,838,4011.02
753,2002-11,Container,1289,27601.41
754,2002-11,Freighter,1003,3233.89
755,2002-11,Bulk Carrier,462,16307.47
756,2002-11,Tanker,1444,26374
757,2002-11,Passenger,4683,2282
758,2002-11,Barges,1239,1667.29
759,2002-11,Tug,1067,216
760,2002-11,Miscellaneous,789,3583.29
761,2002-12,Container,1335,29398.6
762,2002-12,Freighter,881,3031.04
763,2002-12,Bulk Carrier,415,14307.56
764,2002-12,Tanker,1445,27744.31
765,2002-12,Passenger,4889,2233.84
766,2002-12,Barges,1157,1590.47
767,2002-12,Tug,1025,193.43
768,2002-12,Miscellaneous,764,4226.37
769,2003-01,Container,1341,29022
770,2003-01,Freighter,955,3084
771,2003-01,Bulk Carrier,476,16147
772,2003-01,Tanker,1431,27720
773,2003-01,Passenger,4862,2487
774,2003-01,Barges,1178,1639
775,2003-01,Tug,1056,215
776,2003-01,Miscellaneous,773,4016
777,2003-02,Container,1199,26318
778,2003-02,Freighter,761,2630
779,2003-02,Bulk Carrier,408,13505
780,2003-02,Tanker,1295,26103
781,2003-02,Passenger,4347,2683
782,2003-02,Barges,941,1385
783,2003-02,Tug,861,182
784,2003-02,Miscellaneous,666,3860
785,2003-03,Container,1350,30096
786,2003-03,Freighter,862,2776
787,2003-03,Bulk Carrier,478,16714
788,2003-03,Tanker,1417,27607
789,2003-03,Passenger,4476,2905
790,2003-03,Barges,1336,1952
791,2003-03,Tug,1136,228
792,2003-03,Miscellaneous,805,3809
793,2003-04,Container,1302,28727.34
794,2003-04,Freighter,878,3106.96
795,2003-04,Bulk Carrier,462,16847.97
796,2003-04,Tanker,1458,26485.77
797,2003-04,Passenger,3715,1263.42
798,2003-04,Barges,1360,1847.15
799,2003-04,Tug,1122,217.33
800,2003-04,Miscellaneous,811,4053.07
801,2003-05,Container,1382,31429.83
802,2003-05,Freighter,900,3010.6
803,2003-05,Bulk Carrier,438,15443.31
804,2003-05,Tanker,1383,24240.45
805,2003-05,Passenger,3461,1389.94
806,2003-05,Barges,1349,1710.25
807,2003-05,Tug,1086,195.78
808,2003-05,Miscellaneous,838,4123.95
809,2003-06,Container,1321,29561.92
810,2003-06,Freighter,833,3109.57
811,2003-06,Bulk Carrier,459,15608.91
812,2003-06,Tanker,1442,26021.54
813,2003-06,Passenger,3467,1526.64
814,2003-06,Barges,1301,1693.69
815,2003-06,Tug,1084,206.44
816,2003-06,Miscellaneous,848,4511.99
817,2003-07,Container,1396,31246.73
818,2003-07,Freighter,903,2607.5
819,2003-07,Bulk Carrier,437,14367.52
820,2003-07,Tanker,1510,26161.82
821,2003-07,Passenger,3962,1809
822,2003-07,Barges,1243,1553.34
823,2003-07,Tug,1068,203.8
824,2003-07,Miscellaneous,798,4165.05
825,2003-08,Container,1381,31009.19
826,2003-08,Freighter,824,2950.23
827,2003-08,Bulk Carrier,465,16641.45
828,2003-08,Tanker,1494,26074.46
829,2003-08,Passenger,4115,1836.53
830,2003-08,Barges,1166,1500.63
831,2003-08,Tug,1071,206.03
832,2003-08,Miscellaneous,768,4359.7
833,2003-09,Container,1344,30090.45
834,2003-09,Freighter,837,2978.58
835,2003-09,Bulk Carrier,436,15193.65
836,2003-09,Tanker,1411,24841.7
837,2003-09,Passenger,4057,1740.05
838,2003-09,Barges,1188,1528.37
839,2003-09,Tug,1051,190.2
840,2003-09,Miscellaneous,774,4736.06
841,2003-10,Container,1363,30871.62
842,2003-10,Freighter,964,2971.42
843,2003-10,Bulk Carrier,415,13181.89
844,2003-10,Tanker,1391,25732.72
845,2003-10,Passenger,4404,2068.47
846,2003-10,Barges,1189,1564.02
847,2003-10,Tug,994,178.71
848,2003-10,Miscellaneous,782,4484.26
849,2003-11,Container,1369,30770.54
850,2003-11,Freighter,906,2754.61
851,2003-11,Bulk Carrier,418,13769.34
852,2003-11,Tanker,1431,24485
853,2003-11,Passenger,4240,2249.44
854,2003-11,Barges,1190,1487.78
855,2003-11,Tug,1013,185.84
856,2003-11,Miscellaneous,775,4449.8
857,2003-12,Container,1407,31852.84
858,2003-12,Freighter,945,2714.46
859,2003-12,Bulk Carrier,406,13952.5
860,2003-12,Tanker,1421,26296.46
861,2003-12,Passenger,4513,2475.35
862,2003-12,Barges,1210,1544.38
863,2003-12,Tug,1055,193.75
864,2003-12,Miscellaneous,776,4747.92
865,2004-01,Container,1407,32346.74
866,2004-01,Freighter,879,3020.11
867,2004-01,Bulk Carrier,465,14237.16
868,2004-01,Tanker,1552,27856.38
869,2004-01,Passenger,4464,2321.13
870,2004-01,Barges,1046,1387.56
871,2004-01,Tug,893,162.21
872,2004-01,Miscellaneous,742,4282
873,2004-02,Container,1309,30512.66
874,2004-02,Freighter,847,2597.81
875,2004-02,Bulk Carrier,404,13059.22
876,2004-02,Tanker,1401,24214.34
877,2004-02,Passenger,4028,2401.99
878,2004-02,Barges,1081,1369.64
879,2004-02,Tug,950,168.99
880,2004-02,Miscellaneous,704,4225.26
881,2004-03,Container,1447,33291.99
882,2004-03,Freighter,879,2987.67
883,2004-03,Bulk Carrier,425,14048.31
884,2004-03,Tanker,1570,28065.55
885,2004-03,Passenger,4409,2658.4
886,2004-03,Barges,1277,1594.17
887,2004-03,Tug,1076,183.83
888,2004-03,Miscellaneous,799,4771.58
889,2004-04,Container,1395,32259.41
890,2004-04,Freighter,807,3042.55
891,2004-04,Bulk Carrier,433,14897.06
892,2004-04,Tanker,1518,27363.15
893,2004-04,Passenger,3295,1908.38
894,2004-04,Barges,1191,1506.76
895,2004-04,Tug,1043,186.23
896,2004-04,Miscellaneous,784,4151.65
897,2004-05,Container,1465,33688.49
898,2004-05,Freighter,825,2952.67
899,2004-05,Bulk Carrier,418,13638.51
900,2004-05,Tanker,1525,28570.64
901,2004-05,Passenger,3638,1862.48
902,2004-05,Barges,1191,1509.5
903,2004-05,Tug,1088,199.34
904,2004-05,Miscellaneous,825,4198.55
905,2004-06,Container,1423,33138.09
906,2004-06,Freighter,786,2480.61
907,2004-06,Bulk Carrier,394,13651.64
908,2004-06,Tanker,1476,26801.76
909,2004-06,Passenger,3730,1886.41
910,2004-06,Barges,1103,1420.59
911,2004-06,Tug,1008,197.63
912,2004-06,Miscellaneous,844,4724.61
913,2004-07,Container,1428,33403.29
914,2004-07,Freighter,843,3096.52
915,2004-07,Bulk Carrier,446,15215.78
916,2004-07,Tanker,1483,27609.13
917,2004-07,Passenger,3847,1841.88
918,2004-07,Barges,1266,1603.57
919,2004-07,Tug,1116,208.12
920,2004-07,Miscellaneous,858,5486.65
921,2004-08,Container,1439,33153.68
922,2004-08,Freighter,888,3203.48
923,2004-08,Bulk Carrier,466,16168.75
924,2004-08,Tanker,1380,26709
925,2004-08,Passenger,3824,1793.62
926,2004-08,Barges,1168,1514.63
927,2004-08,Tug,1081,202.8
928,2004-08,Miscellaneous,782,4822.52
929,2004-09,Container,1503,33620.76
930,2004-09,Freighter,945,2859.4
931,2004-09,Bulk Carrier,411,14021.76
932,2004-09,Tanker,1425,30623.76
933,2004-09,Passenger,3618,1817.45
934,2004-09,Barges,1195,1446.25
935,2004-09,Tug,1060,193.43
936,2004-09,Miscellaneous,776,4830.6
937,2004-10,Container,1482,33338.54
938,2004-10,Freighter,923,2974.85
939,2004-10,Bulk Carrier,489,16340.05
940,2004-10,Tanker,1376,27288.47
941,2004-10,Passenger,3721,2052.39
942,2004-10,Barges,1177,1418.67
943,2004-10,Tug,998,166.56
944,2004-10,Miscellaneous,784,4796.15
945,2004-11,Container,1461,33473.89
946,2004-11,Freighter,827,3051.33
947,2004-11,Bulk Carrier,476,16697.98
948,2004-11,Tanker,1427,28954.4
949,2004-11,Passenger,4116,1879.44
950,2004-11,Barges,1077,1306.54
951,2004-11,Tug,940,164.77
952,2004-11,Miscellaneous,694,4526.26
953,2004-12,Container,1574,34847.56
954,2004-12,Freighter,834,3118.8
955,2004-12,Bulk Carrier,500,16656.07
956,2004-12,Tanker,1443,27663.9
957,2004-12,Passenger,4441,2140.85
958,2004-12,Barges,1175,1405.61
959,2004-12,Tug,1021,175.91
960,2004-12,Miscellaneous,722,4560.05
961,2005-01,Container,1560,35151.86
962,2005-01,Freighter,855,3009.87
963,2005-01,Bulk Carrier,548,18755.28
964,2005-01,Tanker,1469,29698.76
965,2005-01,Passenger,4371,2075.94
966,2005-01,Barges,1147,1379.17
967,2005-01,Tug,1051,189.8
968,2005-01,Miscellaneous,743,4660.36
969,2005-02,Container,1342,31496.78
970,2005-02,Freighter,716,2855.09
971,2005-02,Bulk Carrier,454,15427.32
972,2005-02,Tanker,1278,24553.82
973,2005-02,Passenger,3686,1971.1
974,2005-02,Barges,920,1232.18
975,2005-02,Tug,884,178.22
976,2005-02,Miscellaneous,745,4887.01
977,2005-03,Container,1555,37169.46
978,2005-03,Freighter,858,3074
979,2005-03,Bulk Carrier,500,15991.12
980,2005-03,Tanker,1472,29576.7
981,2005-03,Passenger,3899,2397.64
982,2005-03,Barges,1171,1453.14
983,2005-03,Tug,1041,182.04
984,2005-03,Miscellaneous,849,4688.27
985,2005-04,Container,1493,35144.04
986,2005-04,Freighter,876,3082.55
987,2005-04,Bulk Carrier,559,19597
988,2005-04,Tanker,1446,27535.49
989,2005-04,Passenger,3659,1850.55
990,2005-04,Barges,1126,1380.59
991,2005-04,Tug,1017,183.74
992,2005-04,Miscellaneous,868,4981.62
993,2005-05,Container,1571,36905.12
994,2005-05,Freighter,847,3318.21
995,2005-05,Bulk Carrier,554,18496.6
996,2005-05,Tanker,1527,29684.81
997,2005-05,Passenger,3826,1922.22
998,2005-05,Barges,1088,1305.09
999,2005-05,Tug,996,187.3
1000,2005-05,Miscellaneous,851,4738.23
1001,2005-06,Container,1527,35345.1
1002,2005-06,Freighter,811,3028.62
1003,2005-06,Bulk Carrier,522,17762.57
1004,2005-06,Tanker,1488,30892.2
1005,2005-06,Passenger,3511,1790.99
1006,2005-06,Barges,1105,1419.53
1007,2005-06,Tug,975,188.76
1008,2005-06,Miscellaneous,825,5182.68
1009,2005-07,Container,1553,35430.52
1010,2005-07,Freighter,784,3230.26
1011,2005-07,Bulk Carrier,545,19522.01
1012,2005-07,Tanker,1472,30067.77
1013,2005-07,Passenger,3496,1887.97
1014,2005-07,Barges,1129,1426.01
1015,2005-07,Tug,1033,179.61
1016,2005-07,Miscellaneous,814,4776.72
1017,2005-08,Container,1594,36340.27
1018,2005-08,Freighter,745,3107.8
1019,2005-08,Bulk Carrier,564,19668
1020,2005-08,Tanker,1520,33697.31
1021,2005-08,Passenger,3514,1958.52
1022,2005-08,Barges,1096,1376.66
1023,2005-08,Tug,1003,188.07
1024,2005-08,Miscellaneous,842,5628.94
1025,2005-09,Container,1505,34863.85
1026,2005-09,Freighter,799,3087.77
1027,2005-09,Bulk Carrier,571,19897.84
1028,2005-09,Tanker,1390,29189.59
1029,2005-09,Passenger,3367,1783.22
1030,2005-09,Barges,1095,1342.55
1031,2005-09,Tug,974,157.72
1032,2005-09,Miscellaneous,797,4989.54
1033,2005-10,Container,1584,37059.85
1034,2005-10,Freighter,863,3496.42
1035,2005-10,Bulk Carrier,651,23705.67
1036,2005-10,Tanker,1414,29175.03
1037,2005-10,Passenger,3480,1889.19
1038,2005-10,Barges,1084,1402.91
1039,2005-10,Tug,1000,160.12
1040,2005-10,Miscellaneous,846,5189.87
1041,2005-11,Container,1514,36088.07
1042,2005-11,Freighter,817,3246.62
1043,2005-11,Bulk Carrier,585,21849.18
1044,2005-11,Tanker,1385,27219.36
1045,2005-11,Passenger,3346,2510.75
1046,2005-11,Barges,911,1209.23
1047,2005-11,Tug,878,180.65
1048,2005-11,Miscellaneous,827,5300.15
1049,2005-12,Container,1617,38417.61
1050,2005-12,Freighter,851,3063.8
1051,2005-12,Bulk Carrier,583,21220.29
1052,2005-12,Tanker,1454,28338.76
1053,2005-12,Passenger,3347,2344.45
1054,2005-12,Barges,1032,1371.68
1055,2005-12,Tug,1001,193.67
1056,2005-12,Miscellaneous,864,5381.06
1057,2006-01,Container,1645,38553.42
1058,2006-01,Freighter,796,3140.87
1059,2006-01,Bulk Carrier,619,23474.59
1060,2006-01,Tanker,1457,31700.52
1061,2006-01,Passenger,3443,2531.77
1062,2006-01,Barges,892,1177.79
1063,2006-01,Tug,890,163.01
1064,2006-01,Miscellaneous,794,5386.38
1065,2006-02,Container,1466,35134
1066,2006-02,Freighter,700,2724.84
1067,2006-02,Bulk Carrier,569,21666.92
1068,2006-02,Tanker,1347,30141.03
1069,2006-02,Passenger,3103,2400.98
1070,2006-02,Barges,928,1211.18
1071,2006-02,Tug,923,169.12
1072,2006-02,Miscellaneous,755,4465.89
1073,2006-03,Container,1647,38182.94
1074,2006-03,Freighter,848,3564.62
1075,2006-03,Bulk Carrier,651,24271.69
1076,2006-03,Tanker,1486,33474.1
1077,2006-03,Passenger,3473,2955.77
1078,2006-03,Barges,1126,1441.54
1079,2006-03,Tug,1095,194.91
1080,2006-03,Miscellaneous,874,5040.99
1081,2006-04,Container,1533,36151.31
1082,2006-04,Freighter,779,3300.02
1083,2006-04,Bulk Carrier,618,23591.84
1084,2006-04,Tanker,1506,34093.49
1085,2006-04,Passenger,3315,2628.02
1086,2006-04,Barges,992,1311.65
1087,2006-04,Tug,1019,201.18
1088,2006-04,Miscellaneous,801,4833.66
1089,2006-05,Container,1622,38956.03
1090,2006-05,Freighter,782,2852.12
1091,2006-05,Bulk Carrier,733,27453.5
1092,2006-05,Tanker,1576,35622.57
1093,2006-05,Passenger,3325,2422.36
1094,2006-05,Barges,1067,1429.03
1095,2006-05,Tug,1031,195.19
1096,2006-05,Miscellaneous,816,4729.49
1097,2006-06,Container,1563,38292.7
1098,2006-06,Freighter,797,3393.22
1099,2006-06,Bulk Carrier,665,24386.03
1100,2006-06,Tanker,1535,35969.96
1101,2006-06,Passenger,3256,2333.36
1102,2006-06,Barges,1111,1461.86
1103,2006-06,Tug,1086,187.78
1104,2006-06,Miscellaneous,844,4782.97
1105,2006-07,Container,1593,39063.22
1106,2006-07,Freighter,760,3073.54
1107,2006-07,Bulk Carrier,647,24386.02
1108,2006-07,Tanker,1564,34067.66
1109,2006-07,Passenger,3289,2367.07
1110,2006-07,Barges,1115,1538.07
1111,2006-07,Tug,1083,208.04
1112,2006-07,Miscellaneous,807,4989.6
1113,2006-08,Container,1646,41081.45
1114,2006-08,Freighter,789,2938.74
1115,2006-08,Bulk Carrier,678,26550.14
1116,2006-08,Tanker,1574,35750.8
1117,2006-08,Passenger,3137,2345.11
1118,2006-08,Barges,1128,1579.35
1119,2006-08,Tug,1136,218.57
1120,2006-08,Miscellaneous,864,5124.72
1121,2006-09,Container,1594,38733.49
1122,2006-09,Freighter,854,3365.76
1123,2006-09,Bulk Carrier,665,25855.85
1124,2006-09,Tanker,1592,33608.92
1125,2006-09,Passenger,3050,2192.84
1126,2006-09,Barges,1151,1644.75
1127,2006-09,Tug,1175,226.45
1128,2006-09,Miscellaneous,874,5191.02
1129,2006-10,Container,1619,40352.73
1130,2006-10,Freighter,820,3268.95
1131,2006-10,Bulk Carrier,695,25320.98
1132,2006-10,Tanker,1510,32790.23
1133,2006-10,Passenger,3147,2189.76
1134,2006-10,Barges,1052,1563.73
1135,2006-10,Tug,1011,215.25
1136,2006-10,Miscellaneous,889,4973.38
1137,2006-11,Container,1590,39279.47
1138,2006-11,Freighter,842,3327
1139,2006-11,Bulk Carrier,662,24574.43
1140,2006-11,Tanker,1534,34261.4
1141,2006-11,Passenger,2990,2407.7
1142,2006-11,Barges,1137,1676.55
1143,2006-11,Tug,1074,216.69
1144,2006-11,Miscellaneous,832,4441.14
1145,2006-12,Container,1643,41737.57
1146,2006-12,Freighter,752,3263.31
1147,2006-12,Bulk Carrier,710,25934.85
1148,2006-12,Tanker,1514,34092.06
1149,2006-12,Passenger,3248,2443.26
1150,2006-12,Barges,1090,1608.45
1151,2006-12,Tug,1038,211.94
1152,2006-12,Miscellaneous,859,4989.78
1153,2007-01,Container,1634,40803.25
1154,2007-01,Freighter,848,3434.05
1155,2007-01,Bulk Carrier,755,27127.57
1156,2007-01,Tanker,1618,36323.67
1157,2007-01,Passenger,3148,2313.64
1158,2007-01,Barges,1072,1506.07
1159,2007-01,Tug,1011,190.34
1160,2007-01,Miscellaneous,832,5129.37
1161,2007-02,Container,1495,38578.37
1162,2007-02,Freighter,731,2827.55
1163,2007-02,Bulk Carrier,639,24191.72
1164,2007-02,Tanker,1485,32924.22
1165,2007-02,Passenger,2841,1812.46
1166,2007-02,Barges,803,1086.38
1167,2007-02,Tug,833,165.04
1168,2007-02,Miscellaneous,777,5665.72
1169,2007-03,Container,1648,42366.01
1170,2007-03,Freighter,827,3494.66
1171,2007-03,Bulk Carrier,729,26604.86
1172,2007-03,Tanker,1675,38866.11
1173,2007-03,Passenger,3101,2749.54
1174,2007-03,Barges,768,1035.84
1175,2007-03,Tug,887,189.83
1176,2007-03,Miscellaneous,866,6600.38
1177,2007-04,Container,1631,42324.46
1178,2007-04,Freighter,805,3417.85
1179,2007-04,Bulk Carrier,713,26395.11
1180,2007-04,Tanker,1607,36623.12
1181,2007-04,Passenger,3045,2177.24
1182,2007-04,Barges,778,1089.72
1183,2007-04,Tug,845,175.35
1184,2007-04,Miscellaneous,828,5748.65
1185,2007-05,Container,1695,43646.3
1186,2007-05,Freighter,821,3247.3
1187,2007-05,Bulk Carrier,734,27084.75
1188,2007-05,Tanker,1591,36414.81
1189,2007-05,Passenger,3146,2346.9
1190,2007-05,Barges,887,1237.28
1191,2007-05,Tug,905,197.25
1192,2007-05,Miscellaneous,852,6348.95
1193,2007-06,Container,1624,42801.87
1194,2007-06,Freighter,821,3002.68
1195,2007-06,Bulk Carrier,757,29480.7
1196,2007-06,Tanker,1613,36466.92
1197,2007-06,Passenger,3108,2997.68
1198,2007-06,Barges,921,1296.08
1199,2007-06,Tug,950,204.66
1200,2007-06,Miscellaneous,791,5919.54
1201,2007-07,Container,1711,45112.16
1202,2007-07,Freighter,814,3354.03
1203,2007-07,Bulk Carrier,743,27874.47
1204,2007-07,Tanker,1649,38672.6
1205,2007-07,Passenger,3181,2152.61
1206,2007-07,Barges,1081,1500.44
1207,2007-07,Tug,1057,205.31
1208,2007-07,Miscellaneous,834,6557.81
1209,2007-08,Container,1713,45455.06
1210,2007-08,Freighter,817,3323.48
1211,2007-08,Bulk Carrier,751,28728.3
1212,2007-08,Tanker,1611,35973.52
1213,2007-08,Passenger,3253,2301.83
1214,2007-08,Barges,1106,1528.71
1215,2007-08,Tug,1063,199.81
1216,2007-08,Miscellaneous,832,6765.48
1217,2007-09,Container,1673,44646.92
1218,2007-09,Freighter,793,3188.83
1219,2007-09,Bulk Carrier,708,27548.45
1220,2007-09,Tanker,1639,40936.66
1221,2007-09,Passenger,3125,2114.25
1222,2007-09,Barges,1098,1535.83
1223,2007-09,Tug,1085,200.79
1224,2007-09,Miscellaneous,865,6580.27
1225,2007-10,Container,1729,47685.01
1226,2007-10,Freighter,827,3532.19
1227,2007-10,Bulk Carrier,713,26441.46
1228,2007-10,Tanker,1640,37972.22
1229,2007-10,Passenger,3115,2662.41
1230,2007-10,Barges,1091,1496.69
1231,2007-10,Tug,1081,215.43
1232,2007-10,Miscellaneous,887,6943.39
1233,2007-11,Container,1688,45714.86
1234,2007-11,Freighter,863,3559.32
1235,2007-11,Bulk Carrier,701,26689.81
1236,2007-11,Tanker,1565,37027.12
1237,2007-11,Passenger,3080,2443.71
1238,2007-11,Barges,1000,1358.17
1239,2007-11,Tug,1015,189.34
1240,2007-11,Miscellaneous,871,5906.9
1241,2007-12,Container,1705,47542.16
1242,2007-12,Freighter,897,3909.09
1243,2007-12,Bulk Carrier,710,25733.4
1244,2007-12,Tanker,1619,37246.88
1245,2007-12,Passenger,3118,3103.81
1246,2007-12,Barges,995,1425.8
1247,2007-12,Tug,1040,215.31
1248,2007-12,Miscellaneous,925,7117.29
1249,2008-01,Container,1755,49690.04
1250,2008-01,Freighter,915,3879
1251,2008-01,Bulk Carrier,786,29272.11
1252,2008-01,Tanker,1610,40338.33
1253,2008-01,Passenger,2852,2495.09
1254,2008-01,Barges,1122,1556.25
1255,2008-01,Tug,1111,221.23
1256,2008-01,Miscellaneous,907,6187.33
1257,2008-02,Container,1605,43389.24
1258,2008-02,Freighter,760,3268.88
1259,2008-02,Bulk Carrier,696,26327.56
1260,2008-02,Tanker,1477,38328.65
1261,2008-02,Passenger,2760,2387.03
1262,2008-02,Barges,940,1295.04
1263,2008-02,Tug,937,184.34
1264,2008-02,Miscellaneous,868,7224.89
1265,2008-03,Container,1744,49433.45
1266,2008-03,Freighter,827,3936.85
1267,2008-03,Bulk Carrier,754,28259.71
1268,2008-03,Tanker,1685,44309.46
1269,2008-03,Passenger,2980,3099.08
1270,2008-03,Barges,1126,1557.65
1271,2008-03,Tug,1109,234.81
1272,2008-03,Miscellaneous,898,7849.5
1273,2008-04,Container,1712,48058.84
1274,2008-04,Freighter,840,3449.7
1275,2008-04,Bulk Carrier,821,31411.96
1276,2008-04,Tanker,1739,45958.08
1277,2008-04,Passenger,2820,2202.26
1278,2008-04,Barges,1164,1558.04
1279,2008-04,Tug,1130,222.59
1280,2008-04,Miscellaneous,923,7305.01
1281,2008-05,Container,1801,51404.41
1282,2008-05,Freighter,820,3382.28
1283,2008-05,Bulk Carrier,839,31479.16
1284,2008-05,Tanker,1637,40943.59
1285,2008-05,Passenger,2958,2169.69
1286,2008-05,Barges,1185,1674.43
1287,2008-05,Tug,1218,240.16
1288,2008-05,Miscellaneous,971,7941.72
1289,2008-06,Container,1701,49133.66
1290,2008-06,Freighter,815,3437.87
1291,2008-06,Bulk Carrier,668,25639.71
1292,2008-06,Tanker,1664,40313.61
1293,2008-06,Passenger,2740,2090.71
1294,2008-06,Barges,1195,1770.06
1295,2008-06,Tug,1141,224.62
1296,2008-06,Miscellaneous,955,6488.83
1297,2008-07,Container,1797,51691.47
1298,2008-07,Freighter,869,3523.59
1299,2008-07,Bulk Carrier,755,29527.09
1300,2008-07,Tanker,1639,38071.61
1301,2008-07,Passenger,2789,1977.85
1302,2008-07,Barges,1317,1946.17
1303,2008-07,Tug,1217,236.11
1304,2008-07,Miscellaneous,995,8461.49
1305,2008-08,Container,1749,50331.55
1306,2008-08,Freighter,821,3658.06
1307,2008-08,Bulk Carrier,792,31773.7
1308,2008-08,Tanker,1707,43235.78
1309,2008-08,Passenger,2796,1781.89
1310,2008-08,Barges,1181,1717.25
1311,2008-08,Tug,1145,236.62
1312,2008-08,Miscellaneous,1010,8729.04
1313,2008-09,Container,1687,49711.85
1314,2008-09,Freighter,778,3507.24
1315,2008-09,Bulk Carrier,714,28532.71
1316,2008-09,Tanker,1579,40298.82
1317,2008-09,Passenger,2641,1862.34
1318,2008-09,Barges,1230,1848.24
1319,2008-09,Tug,1179,241.19
1320,2008-09,Miscellaneous,952,8318.41
1321,2008-10,Container,1684,49678.97
1322,2008-10,Freighter,760,3800.1
1323,2008-10,Bulk Carrier,785,30308.84
1324,2008-10,Tanker,1526,37321.76
1325,2008-10,Passenger,2804,2431.66
1326,2008-10,Barges,1219,1963.59
1327,2008-10,Tug,1182,250.44
1328,2008-10,Miscellaneous,937,7524.38
1329,2008-11,Container,1659,48967.82
1330,2008-11,Freighter,761,3737.03
1331,2008-11,Bulk Carrier,783,30255
1332,2008-11,Tanker,1564,37775.21
1333,2008-11,Passenger,2709,2931.9
1334,2008-11,Barges,1188,1969.57
1335,2008-11,Tug,1179,258.98
1336,2008-11,Miscellaneous,898,8278.13
1337,2008-12,Container,1695,49687.83
1338,2008-12,Freighter,736,3880.36
1339,2008-12,Bulk Carrier,887,34351.87
1340,2008-12,Tanker,1633,37520.37
1341,2008-12,Passenger,2817,3074.52
1342,2008-12,Barges,1180,1963.21
1343,2008-12,Tug,1188,255.31
1344,2008-12,Miscellaneous,901,8431.92
1345,2009-01,Container,1568,47988.29
1346,2009-01,Freighter,653,3342.67
1347,2009-01,Bulk Carrier,908,35983.96
1348,2009-01,Tanker,1618,41974.44
1349,2009-01,Passenger,2713,2969.22
1350,2009-01,Barges,1118,1917.72
1351,2009-01,Tug,1124,242.88
1352,2009-01,Miscellaneous,858,8581.76
1353,2009-02,Container,1338,40587.68
1354,2009-02,Freighter,645,2976.21
1355,2009-02,Bulk Carrier,955,38148.23
1356,2009-02,Tanker,1460,34281.27
1357,2009-02,Passenger,2376,2206.38
1358,2009-02,Barges,1165,1983.59
1359,2009-02,Tug,1150,250.18
1360,2009-02,Miscellaneous,800,7510.44
1361,2009-03,Container,1529,46705.93
1362,2009-03,Freighter,693,3731
1363,2009-03,Bulk Carrier,1112,46074.95
1364,2009-03,Tanker,1686,42490.85
1365,2009-03,Passenger,2620,3221.3
1366,2009-03,Barges,1308,2378.12
1367,2009-03,Tug,1299,286.12
1368,2009-03,Miscellaneous,809,7606.89
1369,2009-04,Container,1466,44385.98
1370,2009-04,Freighter,690,3825.74
1371,2009-04,Bulk Carrier,1041,43484.21
1372,2009-04,Tanker,1652,40946.68
1373,2009-04,Passenger,2538,2779.91
1374,2009-04,Barges,1232,2275.82
1375,2009-04,Tug,1263,272.61
1376,2009-04,Miscellaneous,816,7113.15
1377,2009-05,Container,1551,48061.25
1378,2009-05,Freighter,676,3621.18
1379,2009-05,Bulk Carrier,1133,48089.36
1380,2009-05,Tanker,1748,47519.26
1381,2009-05,Passenger,2643,2474.29
1382,2009-05,Barges,1265,2425.09
1383,2009-05,Tug,1331,323.37
1384,2009-05,Miscellaneous,840,7070
1385,2009-06,Container,1462,45001.1
1386,2009-06,Freighter,689,3616.28
1387,2009-06,Bulk Carrier,914,37910.94
1388,2009-06,Tanker,1727,44244.39
1389,2009-06,Passenger,2585,2182.15
1390,2009-06,Barges,1384,2759.59
1391,2009-06,Tug,1407,311.13
1392,2009-06,Miscellaneous,861,7886.49
1393,2009-07,Container,1547,48544.48
1394,2009-07,Freighter,713,3631.12
1395,2009-07,Bulk Carrier,1030,44171.93
1396,2009-07,Tanker,1718,44548.15
1397,2009-07,Passenger,2758,2347.35
1398,2009-07,Barges,1387,2722.96
1399,2009-07,Tug,1408,302.52
1400,2009-07,Miscellaneous,877,7740.74
1401,2009-08,Container,1530,48818.96
1402,2009-08,Freighter,687,3458.46
1403,2009-08,Bulk Carrier,977,40341.6
1404,2009-08,Tanker,1740,48271
1405,2009-08,Passenger,2778,2524.53
1406,2009-08,Barges,1318,2543.16
1407,2009-08,Tug,1385,326.24
1408,2009-08,Miscellaneous,846,7261.1
1409,2009-09,Container,1464,46368.12
1410,2009-09,Freighter,678,3776.77
1411,2009-09,Bulk Carrier,960,42296.21
1412,2009-09,Tanker,1662,45225.27
1413,2009-09,Passenger,2693,2522.19
1414,2009-09,Barges,1208,2254.5
1415,2009-09,Tug,1282,276.17
1416,2009-09,Miscellaneous,852,7534.32
1417,2009-10,Container,1525,48170.83
