month,era5_wind_ms
2015-01,5.509615
2015-02,5.4280787
2015-03,3.567405
2015-04,1.6132197
2015-05,1.7024047
2015-06,3.2152376
2015-07,3.7106087
2015-08,3.0395555
2015-09,2.9702852
2015-10,2.4869134
2015-11,1.4286383
2015-12,3.3971493
2016-01,3.945132
2016-02,5.4645977
2016-03,4.36547
2016-04,1.2534086
2016-05,0.9055891
2016-06,2.2380815
2016-07,2.3515282
2016-08,3.2940028
2016-09,2.2808578
2016-10,2.809214
2016-11,2.4364817
2016-12,3.6904204
2017-01,3.6357036
2017-02,4.8875875
2017-03,2.7125602
2017-04,1.382203
2017-05,2.801943
2017-06,2.3408258
2017-07,4.109387
2017-08,3.5665977
2017-09,2.3959692
2017-10,1.4985995
2017-11,2.4489965
2017-12,3.9881794
2018-01,3.7958293
2018-02,5.5229244
2018-03,3.3485105
2018-04,1.8666922
2018-05,1.217305
2018-06,3.081101
2018-07,4.095839
2018-08,3.680854
2018-09,2.7624052
2018-10,0.44890627
2018-11,1.4465377
2018-12,2.7906039
2019-01,4.5945754
2019-02,4.7601795
2019-03,3.3118122
2019-04,1.0149096
2019-05,1.5679078
2019-06,2.9673588
2019-07,4.4078093
2019-08,4.847124
2019-09,3.5872672
2019-10,0.7742179
2019-11,1.6971645
2019-12,4.707629
2020-01,5.4275413
2020-02,5.7420707
2020-03,3.7803214
2020-04,2.3599045
2020-05,1.0747935
2020-06,3.0491447
2020-07,2.6213467
2020-08,3.3434474
2020-09,2.9623482
2020-10,2.6242416
2020-11,1.4945978
2020-12,4.273534
2021-01,6.106687
2021-02,6.2843947
2021-03,3.655717
2021-04,0.72685665
2021-05,1.0698256
2021-06,2.617599
2021-07,3.0704489
2021-08,2.601265
2021-09,2.3689353
2021-10,1.0042032
2021-11,2.239721
2021-12,4.185606
2022-01,4.842248
2022-02,3.283275
2022-03,2.3004973
2022-04,0.8932696
2022-05,1.5700909
2022-06,1.8842288
2022-07,2.7436306
2022-08,2.3933916
2022-09,2.3438976
2022-10,2.3000903
2022-11,2.3613017
2022-12,3.5702925
2023-01,4.0392427
2023-02,4.8624296
2023-03,3.6806645
2023-04,0.56451726
2023-05,1.5981216
2023-06,2.3640594
2023-07,2.887452
2023-08,3.3399427
2023-09,3.2436452
2023-10,1.1763272
2023-11,2.391421
2023-12,3.0459933
2024-01,4.267326
2024-02,4.9016542
2024-03,3.9876218
2024-04,1.357331
2024-05,1.9346267
2024-06,1.6825469
2024-07,4.438009
2024-08,2.8988352
2024-09,2.3472285
2024-10,1.3804018
2024-11,1.6027877
2024-12,3.8086429
2025-01,5.40951
2025-02,5.1758137
2025-03,3.8666816
2025-04,1.4039279
2025-05,0.8152307
2025-06,2.3191533
2025-07,3.5203083
2025-08,2.412809
2025-09,2.151868
2025-10,1.5603234
2025-11,2.6827843
2025-12,4.099721
